Line	Spkr	StTime	Content	EnTime
1	ATL_int_01	1.1436	Okay.	1.7576
2	ATL_int_01	1.7576	(pause 0.16)	1.9174
3	ATL_int_01	1.9174	Um,	2.4949
4	ATL_int_01	2.4949	(pause 0.85)	3.3405
5	ATL_int_01	3.3405	my name is /RD-NAME-3/, and	5.4601
6	ATL_int_01	5.4601	(pause 0.07)	5.5275
7	ATL_int_01	5.5275	today I will be	6.7935
8	ATL_int_01	6.7935	(pause 0.32)	7.1131
9	ATL_int_01	7.1131	interviewing /RD-NAME-2/.	8.2200
10	ATL_int_01	8.2200	(pause 0.14)	8.3613
11	ATL_int_01	8.3613	Um, /RD-NAME-2/ can I get	9.5366
12	ATL_int_01	9.5366	(pause 0.19)	9.7257
13	ATL_int_01	9.7257	your	10.0750
14	ATL_int_01	10.0750	(pause 0.07)	10.1475
15	ATL_int_01	10.1475	full name?	10.7274
16	ATL_se0_ag1_f_02	11.1952	/RD-NAME-4/	11.9325
17	ATL_int_01	12.7986	Okay, Miss /RD-NAME-4/.	14.6203
18	ATL_int_01	14.6203	(pause 0.17)	14.7892
19	ATL_int_01	14.7892	Um,	15.3662
20	ATL_int_01	15.3662	(pause 1.46)	16.8305
21	ATL_int_01	16.8305	going to assume that	18.0562
22	ATL_int_01	18.0562	(pause 0.34)	18.3913
23	ATL_int_01	18.3913	your sex is female, right?	19.9845
24	ATL_se0_ag1_f_02	20.5929	Last time I checked, yes.	21.6704
25	ATL_int_01	22.0881	Okay.	22.5879
26	ATL_int_01	22.5879	(pause 0.11)	22.6973
27	ATL_int_01	22.6973	Eth-	23.0264
28	ATL_int_01	23.0264	(pause 0.13)	23.1553
29	ATL_int_01	23.1553	ethnically,	24.0841
30	ATL_int_01	24.0841	(pause 0.08)	24.1659
31	ATL_int_01	24.1659	what do you identify as?	25.9999
32	ATL_se0_ag1_f_02	26.3273	I identify as African American.	28.4954
33	ATL_int_01	29.1244	Okay.	29.6142
34	ATL_int_01	29.6142	(pause 0.24)	29.8551
35	ATL_int_01	29.8551	Um,	30.2339
