Line	Spkr	StTime	Content	EnTime
1	ATL_int_01	0.7774	Okay.	1.3967
2	ATL_int_01	1.3967	(pause 1.03)	2.4247
3	ATL_int_01	2.4247	How's it going?	3.3014
4	ATL_int_01	3.3014	(pause 0.24)	3.5431
5	ATL_int_01	3.5431	Of course my name is /RD-NAME-3/.	5.5619
6	ATL_int_01	5.5619	(pause 0.45)	6.0139
7	ATL_int_01	6.0139	I'm the guy that's gonna be interviewi-	7.8931
8	ATL_int_01	7.8931	(pause 0.37)	8.2665
9	ATL_int_01	8.2665	/iewing/ today.	9.2213
10	ATL_int_01	9.2213	(pause 0.44)	9.6619
11	ATL_int_01	9.6619	Can I start by your name? What's your name?	11.3265
12	ATL_se0_ag2_f_01	11.9565	My name is /RD-NAME-4/.	13.6530
13	ATL_int_01	14.0774	<ts> Okay, cool, cool.	15.4414
14	ATL_int_01	15.4414	(pause 0.61)	16.0536
15	ATL_int_01	16.0536	Um,	16.6880
16	ATL_int_01	16.6880	(pause 1.30)	17.9915
17	ATL_int_01	17.9915	with a name like that, I'm assuming you're female?	19.9512
18	ATL_int_01	19.9512	(pause 0.26)	20.2118
19	ATL_int_01	20.2118	But y-	20.7669
20	ATL_int_01	20.7669	(pause 0.11)	20.8772
21	ATL_int_01	20.8772	for the record, are you female?	22.5856
22	ATL_se0_ag2_f_01	22.7499	I'm a female.	23.8456
23	ATL_int_01	24.1925	Okay your ethnicity?	25.5007
24	ATL_se0_ag2_f_01	27.0212	I am two-	28.4350
25	ATL_se0_ag2_f_01	28.4350	(pause 0.69)	29.1251
26	ATL_se0_ag2_f_01	29.1251	<laugh> it's two and	30.6356
27	ATL_se0_ag2_f_01	30.6356	(pause 0.38)	31.0185
28	ATL_se0_ag2_f_01	31.0185	more r- races, two or more races.	33.7084
29	ATL_int_01	33.8655	Which is?	34.7339
30	ATL_se0_ag2_f_01	35.8370	<laugh>	36.4801
31	ATL_se0_ag2_f_01	36.4801	(pause 0.28)	36.7618
32	ATL_se0_ag2_f_01	36.7618	<laugh> I'm [black.]	38.4840
33	ATL_int_01	38.3156	[Mm-hm.]	38.6589
34	ATL_se0_ag2_f_01	38.6684	<laugh>	40.0383
35	ATL_se0_ag2_f_01	40.0383	(pause 0.10)	40.1409
36	ATL_se0_ag2_f_01	40.1409	And then I have a little bit of Spaniard.	42.7603
37	ATL_int_01	43.1534	Okay,	43.6428
38	ATL_int_01	43.6428	(pause 0.24)	43.8862
39	ATL_int_01	43.8862	cool cool,	44.5903
40	ATL_int_01	44.5903	(pause 0.38)	44.9717
41	ATL_int_01	44.9717	don't mind me, I will want you to kind of open up and give me some long	48.7356
42	ATL_int_01	48.7356	(pause 0.11)	48.8436
43	ATL_int_01	48.8436	winded type answers	50.2550
44	ATL_int_01	50.2550	(pause 0.08)	50.3358
45	ATL_int_01	50.3358	[if that's cool.]	50.9971
46	ATL_se0_ag2_f_01	50.4149	[Okay.]	51.0416
47	ATL_int_01	51.5653	Um,	52.1030
48	ATL_int_01	52.1030	(pause 0.48)	52.5864
49	ATL_int_01	52.5864	what year were you born?	53.5492
