Line	Spkr	StTime	Content	EnTime
1	ATL_int_01	0.2095	/RD-NAME-1/ can I get your full name please?	2.2565
2	ATL_se0_ag1_f_03	2.2627	/RD-NAME-5/	3.3234
3	ATL_int_01	3.8816	Okay.	4.4151
4	ATL_int_01	4.4151	(pause 0.28)	4.6960
5	ATL_int_01	4.6960	And, um,	5.4031
6	ATL_int_01	5.4031	(pause 1.14)	6.5383
7	ATL_int_01	6.5383	what is your	7.7416
8	ATL_int_01	7.7416	(pause 0.50)	8.2441
9	ATL_int_01	8.2441	ethnicity?	9.0938
10	ATL_se0_ag1_f_03	9.7327	I'm black.	10.4089
11	ATL_int_01	10.8629	Okay cool.	11.7381
12	ATL_int_01	11.7381	(pause 0.66)	12.3956
13	ATL_int_01	12.3956	Um, what's your year of birth?	14.1042
14	ATL_se0_ag1_f_03	14.5542	Nineteen-ninety three.	15.5405
15	ATL_int_01	16.1688	Okay.	16.7662
16	ATL_int_01	16.7662	(pause 0.13)	16.8991
17	ATL_int_01	16.8991	And	17.4590
18	ATL_int_01	17.4590	(pause 0.61)	18.0730
19	ATL_int_01	18.0730	hometown.	19.2702
20	ATL_int_01	19.2702	(pause 0.45)	19.7168
21	ATL_int_01	19.7168	Where you coming from? Where you from?	21.2799
22	ATL_se0_ag1_f_03	21.5094	Brooklyn New York.	22.2538
23	ATL_int_01	22.8697	Okay, cool.	23.8565
24	ATL_int_01	23.8565	(pause 0.55)	24.4086
25	ATL_int_01	24.4086	Um, how many lives-	26.5507
26	ATL_int_01	26.5507	(pause 0.18)	26.7344
27	ATL_int_01	26.7344	<sound effect>	27.3677
28	ATL_int_01	27.3677	(pause 0.11)	27.4732
29	ATL_int_01	27.4732	How many years have you lived in the Atlanta area?	30.6753
30	ATL_se0_ag1_f_03	31.4878	Um,	32.2570
31	ATL_se0_ag1_f_03	32.2570	(pause 0.24)	32.4927
32	ATL_se0_ag1_f_03	32.4927	like eight and some months now.	34.1197
33	ATL_int_01	34.8454	Okay.	35.5091
34	ATL_int_01	35.5091	(pause 0.77)	36.2783
35	ATL_int_01	36.2783	Okay that's cool.	37.2956
36	ATL_int_01	37.2956	(pause 0.34)	37.6367
37	ATL_int_01	37.6367	Alright, um,	39.0138
38	ATL_int_01	39.0138	(pause 0.99)	40.0018
39	ATL_int_01	40.0018	any other places you lived?	41.4781
40	ATL_se0_ag1_f_03	43.1095	Just Brooklyn	43.8408
41	ATL_se0_ag1_f_03	43.8408	(pause 0.17)	44.0127
42	ATL_se0_ag1_f_03	44.0127	and here.	44.4555
43	ATL_int_01	45.1458	Okay, cool, cool. What's, um	47.2424
44	ATL_int_01	47.2424	(pause 0.38)	47.6208
45	ATL_int_01	47.6208	like, your highest form of, uh, education?	50.1578
46	ATL_se0_ag1_f_03	51.1210	Um, high school.	51.8716
47	ATL_int_01	52.4484	Cool, cool. Um,	53.7759
48	ATL_int_01	53.7759	(pause 0.96)	54.7311
49	ATL_int_01	54.7311	occupation?	55.5566
50	ATL_int_01	55.5566	(pause 0.57)	56.1234
51	ATL_int_01	56.1234	Current occu- occupation?	57.5844
52	ATL_se0_ag1_f_03	58.0453	Um, I'm a school teacher.	59.3230
53	ATL_int_01	59.8751	Cool, cool, cool.	61.0661
54	ATL_int_01	61.0661	(pause 0.97)	62.0337
55	ATL_int_01	62.0337	What about your parents' birthplace?	64.1817
56	ATL_se0_ag1_f_03	64.7586	Um, they was born in Saint Vincent.	66.3403
57	ATL_int_01	67.0847	Okay, cool cool cool.	68.6044
58	ATL_int_01	68.6044	(pause 0.31)	68.9145
59	ATL_int_01	68.9145	Um,	69.6775
60	ATL_int_01	69.6775	(pause 0.95)	70.6294
61	ATL_int_01	70.6294	<ts>	70.7427
62	ATL_int_01	70.7427	(pause 0.74)	71.4781
63	ATL_int_01	71.4781	let's see,	72.5698
64	ATL_int_01	72.5698	(pause 1.39)	73.9593
65	ATL_int_01	73.9593	and what was their occupation and stuff?	76.1766
66	ATL_se0_ag1_f_03	77.2796	Um, my mom used to be a school teacher,	79.3824
67	ATL_se0_ag1_f_03	79.3824	(pause 0.64)	80.0213
68	ATL_se0_ag1_f_03	80.0213	and then when she came to the States,	82.2934
69	ATL_se0_ag1_f_03	82.2934	(pause 0.12)	82.4112
70	ATL_se0_ag1_f_03	82.4112	she, um,	83.5836
71	ATL_se0_ag1_f_03	83.5836	(pause 0.88)	84.4644
72	ATL_se0_ag1_f_03	84.4644	became a RN.	85.5003
73	ATL_int_01	85.9903	Mm-hm.	86.3376
74	ATL_se0_ag1_f_03	86.6478	And my dad,	87.7519
75	ATL_se0_ag1_f_03	87.7519	(pause 0.19)	87.9398
76	ATL_se0_ag1_f_03	87.9398	um,	88.8516
77	ATL_se0_ag1_f_03	88.8516	(pause 0.87)	89.7200
78	ATL_se0_ag1_f_03	89.7200	he did- he played soccer and he- um,	92.2260
79	ATL_se0_ag1_f_03	92.2260	(pause 2.35)	94.5725
80	ATL_se0_ag1_f_03	94.5725	is it a seamstress when you're a guy?	96.3651
81	ATL_se0_ag1_f_03	96.3651	(pause 0.38)	96.7435
82	ATL_se0_ag1_f_03	96.7435	<laugh>	97.1653
83	ATL_int_01	97.2087	I guess?	97.8166
84	ATL_se0_ag1_f_03	97.9407	Well he-	98.4455
85	ATL_se0_ag1_f_03	98.4455	(pause 0.08)	98.5276
86	ATL_se0_ag1_f_03	98.5276	he, um, was a seamstress and then when he came to the States, he did like, um, custodial work.	103.2149
87	ATL_int_01	103.9965	[Okay.]	104.5673
88	ATL_se0_ag1_f_03	104.1950	[Mm-hm.]	104.5547
89	ATL_int_01	104.7198	Cool, cool, cool.	105.9150
90	ATL_int_01	105.9150	(pause 1.10)	107.0129
91	ATL_int_01	107.0129	What'd you do last night?	107.9806
92	ATL_se0_ag1_f_03	109.0536	I went out.	109.6181
93	ATL_int_01	110.5734	Where'd you go?	111.2184
94	ATL_se0_ag1_f_03	111.7661	To a all white party.	112.8640
95	ATL_int_01	113.8875	Was this all- all white people there?	115.5995
96	ATL_se0_ag1_f_03	115.5995	<laugh> No. (laughing)	116.9579
97	ATL_se0_ag1_f_03	117.0590	A all white like	118.0453
98	ATL_se0_ag1_f_03	118.0453	(pause 0.36)	118.4050
99	ATL_se0_ag1_f_03	118.4050	your clothes. All white clothes. [It was all white birthday] party.	121.2894
100	ATL_int_01	120.0798	[Oh.]	120.7869
101	ATL_int_01	121.4444	Oh, okay. That's a cool thing.	123.4480
102	ATL_int_01	123.4480	(pause 0.29)	123.7413
103	ATL_int_01	123.7413	Um,	124.4919
104	ATL_int_01	124.4919	(pause 0.66)	125.1556
105	ATL_int_01	125.1556	did you see anybody at the party with not all white?	127.7546
106	ATL_se0_ag1_f_03	128.4183	Of [course.]	129.3735
107	ATL_int_01	129.2823	[Of course.]	129.7920
108	ATL_se0_ag1_f_03	129.4622	[Somebody] gonna wanna me different. Oh, I'm'a wear black because just because.	133.4692
109	ATL_int_01	133.5685	Mm-hm.	134.4183
110	ATL_int_01	134.4183	(pause 0.51)	134.9331
111	ATL_int_01	134.9331	But, um,	135.7705
112	ATL_int_01	135.7705	(pause 0.62)	136.3864
113	ATL_int_01	136.3864	so what all happens at a all white party? I never been before.	140.1391
114	ATL_se0_ag1_f_03	140.7799	Um, I mean it's different things. I mean it depends on	143.0873
115	ATL_se0_ag1_f_03	143.0873	(pause 0.84)	143.9309
116	ATL_se0_ag1_f_03	143.9309	what type of all white party you go to. You go to American- an American all white party	147.8511
117	ATL_se0_ag1_f_03	147.8511	(pause 0.51)	148.3616
118	ATL_se0_ag1_f_03	148.3616	might be different type of music. People might act different.	151.2211
119	ATL_int_01	151.3700	Mm-hm.	151.6429
120	ATL_se0_ag1_f_03	151.6243	Then if you go to uh- like a Caribbean type, which I went to.	154.7648
121	ATL_int_01	154.8888	Mm-hm.	155.3355
122	ATL_se0_ag1_f_03	155.4595	Um,	156.0798
123	ATL_se0_ag1_f_03	156.0798	(pause 0.33)	156.4148
124	ATL_se0_ag1_f_03	156.4148	get like a different reaction because like, you know it's different music and stuff like that, so.	160.2996
125	ATL_int_01	161.1261	Okay, [okay.]	162.1092
126	ATL_se0_ag1_f_03	161.7277	[Mm.]	162.0565
127	ATL_int_01	162.3086	Um,	163.0428
128	ATL_int_01	163.0428	(pause 2.19)	165.2324
129	ATL_int_01	165.2324	When you came down here from eight years ago,	168.4845
130	ATL_int_01	168.4845	(pause 0.20)	168.6830
131	ATL_int_01	168.6830	I'm assuming that	169.8615
132	ATL_int_01	169.8615	(pause 0.31)	170.1717
133	ATL_int_01	170.1717	the culture was a little bit different.	172.6094
134	ATL_int_01	172.6094	(pause 0.70)	173.3059
135	ATL_int_01	173.3059	What was some of the things you noticed that was different about being in Atlanta than	177.3979
136	ATL_int_01	177.3979	(pause 0.18)	177.5777
137	ATL_int_01	177.5777	in New York?	178.1938
138	ATL_se0_ag1_f_03	178.8593	Um,	179.7712
139	ATL_se0_ag1_f_03	179.7712	(pause 1.70)	181.4753
140	ATL_se0_ag1_f_03	181.4753	<ts>	181.5652
141	ATL_se0_ag1_f_03	181.5652	(pause 0.13)	181.6941
142	ATL_se0_ag1_f_03	181.6941	When I first came out here obviously there wasn't like- things weren't that close. It was stressful because I had to get	187.0847
143	ATL_se0_ag1_f_03	187.0847	(pause 0.75)	187.8367
144	ATL_se0_ag1_f_03	187.8367	a ride to go everywhere. Um, also when I went to school,	191.4052
145	ATL_se0_ag1_f_03	191.4052	(pause 1.23)	192.6334
146	ATL_se0_ag1_f_03	192.6334	like with teachers with different accents, like that come from, um, different countries like, the West Indies and you know like other places.	199.6320
147	ATL_se0_ag1_f_03	199.6320	(pause 0.36)	199.9918
148	ATL_se0_ag1_f_03	199.9918	The kids would make fun of them. And that would kind of get to me a little bit. I don't know if it's because	203.8642
149	ATL_int_01	204.0069	Hm.	204.3542
150	ATL_se0_ag1_f_03	204.4969	um,	205.2102
151	ATL_se0_ag1_f_03	205.2102	(pause 0.68)	205.8863
152	ATL_se0_ag1_f_03	205.8863	you know my parents are from a different	207.4929
153	ATL_se0_ag1_f_03	207.4929	(pause 0.87)	208.3675
154	ATL_se0_ag1_f_03	208.3675	country, or if it's because you know, it's something that I'm used to because being in New York, every- it's everything is diverse, so you know. Nobody's different from	216.5837
155	ATL_se0_ag1_f_03	216.5837	(pause 0.30)	216.8815
156	ATL_se0_ag1_f_03	216.8815	anybody else, you know.	217.8801
157	ATL_int_01	218.3888	Okay.	218.9098
158	ATL_int_01	218.9098	(pause 0.20)	219.1145
159	ATL_int_01	219.1145	That's pretty interesting.	220.2558
